Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4246	Fine Leather Belt	183596	3	18.3596	18.3596	8.09	2.18	3.8	0.3	-0.0567	1.86	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4247	Hillman's Leather Gloves	0	0	0	0	113.23	39.58	139.97	32.62	0.0576	0.86	0.21	0.2442
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4248	Dark Leather Gloves	0	0	0	0	24698.13	509.9	25332.82	328.34	0.0059	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4249	Dark Leather Belt	0	0	0	0	223.72	16.98	236.94	7	0.0153	1.93	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4251	Hillman's Shoulders	4983017	1	498.3017	498.3017	10.25	7.62	17.79	5.7	0.2229	2.36	0.5	0.2119
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4252	Dark Leather Shoulders	0	0	0	0	5879.63	363.39	6361.86	86.79	0.0171	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4254	Barbaric Gloves	100496109	1	10049.6109	10049.6109	10049.61	0	10049.61	0	0	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4255	Green Leather Armor	0	0	0	0	812	262.62	565.62	243.25	-0.0348	1.93	0.07	0.0363
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4256	Guardian Armor	81697405	1	8169.7405	8169.7405	7759.93	1131.85	7160.98	981.69	0.0005	1.79	0.43	0.2402
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4257	Green Leather Belt	0	0	0	0	748.8	16.47	718.39	5.39	-0.0062	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4258	Guardian Belt	0	0	0	0	10813.78	392.32	11202.19	225.16	0.0083	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4259	Green Leather Bracers	0	0	0	0	293.14	155.21	164.06	145.07	-0.0434	0.79	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4260	Guardian Leather Bracers	0	0	0	0	6580.59	442.57	6144.08	421.38	-0.0078	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4262	Gem-Studded Leather Belt	0	0	0	0	13271.3	87.2	13355.97	47.7	0.0015	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4265	Heavy Armor Kit	89406	13	8.9406	8.9406	11.07	6.22	1.88	2.15	-0.1334	7.29	0.71	0.0974
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4278	Lesser Bloodstone Ore	56595929	9	5659.593	5659.593	1194.57	1043.3	2601.95	549.1	0.2472	11.14	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4289	Salt	0	0	0	0	7.72	0.1	7.63	0.02	-0.0031	22.14	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4290	Dust Bowl	0	0	0	0	73010	28709.34	91671.15	14887.97	0.0903	1	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4291	Silken Thread	454675	129	45.4676	14.9999	19.97	16.14	5.93	14.76	-0.0812	107.93	1.43	0.0132
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4292	Pattern: Green Woolen Bag	99000	1	9.9	9.9	39.14	67.41	43.88	67.09	-0.0337	1.57	0.14	0.0892
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4293	Pattern: Hillman's Leather Vest	362999	5	36.3	36.3	89.9	710.18	131.8	670.62	-0.0902	2.57	0.07	0.0272
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4294	Pattern: Hillman's Belt	979997	3	97.9997	97.9997	132.81	51.75	148.3	42.39	0.0557	2.36	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4296	Pattern: Dark Leather Shoulders	9833141310	1	983314.131	983314.131	985966.38	25273	962071.55	23295.07	-0.0029	1.29	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4297	Pattern: Barbaric Gloves	0	0	0	0	500	212.41	625.97	34.11	0.0831	0.5	0.07	0.14
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4298	Pattern: Guardian Belt	125894942	1	12589.4942	12589.4942	14384.74	3291.55	16899.74	3186.62	0.0182	3.21	0.07	0.0218
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4299	Pattern: Guardian Armor	1000000	1	100	100	896.48	567.23	74.93	304.89	-0.1448	1.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	4300	Pattern: Guardian Leather Bracers	10210000	1	1021	1021	32.18	299.44	469.58	216.78	0.3078	2.86	0.14	0.049
